id,name,surname,city,street,street_number,postal_code
449065179,Benedykta,Białas,Radomsko,Rybaki,250,73-281
29806310,Hipolit,Majewski,Nałęczów,Lubuska,432,35-782
176082216,Franciszka,Turowska,Mogielnica,Ajschylosa,509,91-167
225052416,Zbyszek,Waglewski,Konstancin-Jeziorna,Siarczanogórska,1021,68-887
583625490,Ola,Słowakiewicz,Łódź,Sytkowska,172,75-031
10995211,Damian,Komornicki,Urzędów,Dzierżonia Jana,868,59-471
184615177,Patrycja,Chełmicka,Ostrów Wielkopolski,Brandtstaettera Romana,1260,26-509
150386715,Konstancja,Leja,Mońki,Marcelińska,255,63-283
25812385,Mariola,Janicka,Szczecinek,Kantaka Kazimierza,707,79-752
415790216,Izabela,Czerwińska,Piekary Śląskie,Tenczyńska,810,42-671
376144838,Brygida,Samek,Bytów,Palucha Mieczysława,1297,91-970
53782573,Izrael,Skibiński,Tczew,Celakówny Rozalii,644,11-126
409163595,Zbyszek,Kucharczyk,Pyskowice,Niemena Czesława,705,16-557
472922753,Antonia,Orlińska,Bieruń,Stella-Sawickiego Izydora,658,84-116
62040546,Oskar,Zając,Leśnica,Sulechowska,386,32-482
271049056,Huberta,Gawłowska,Żychlin,Knapowskiego Stanisława,1264,79-817
917522,Maniek,Pilarz,Zawichost,Pachońskiego Henryka,1359,00-895
44266027,Angela,Kijańska,Borek Wielkopolski,Sybiraków,932,03-317
28281750,Izabela,Glinka,Stary Sącz,Krumłowskiego Konstantego,1066,07-726
334066628,Rózia,Szymczyk,Tomaszów Lubelski,Głowackiego Bartosza,199,30-731
46654344,Maksymilian,Sutowicz,Siedlce,Wesoła,712,26-853
66456775,Ildefonsa,Larek,Czarnków,Pola Wincentego,1305,08-103
9918899,Roksana,Olechnowicz,Włoszczowa,Bierkowskiego Ludwika,201,64-704
372086883,Rafał,Wolny,Łaszczów,Ścinawska,654,96-339
47902029,Ela,Waliszewska,Wadowice,Nowohucka,459,14-685
31281193,Bernadetta,Syrewicz,Żuromin,Opalenicka,900,28-102
49512545,Julita,Łagowska,Ziębice,Botewa Christo,694,75-348
4210159,Bogusław,Walczak,Bukowno,Mosiężnicza,1245,17-735
36112307,Julianna,Rybińska,Ińsko,Igrców,83,48-316
141513743,Ilza,Maculewicz,Myszków,Królowej Jadwigi Boczna,29,66-768
437195015,Przemysław,Wojciechowski,Chodzież,Haber-Włyńskiego Adama,1234,48-355
23833833,Maciek,Burzyński,Ostrzeszów,Partyzantów,480,37-974
43986057,Iga,Dębicka,Pobiedziska,Nakielska,1346,65-689
21530638,Melchior,Kreczmar,Chełmek,Ubeliny,1243,06-908
121303383,Longin,Bizoń,Bodzentyn,Przepadek,112,21-876
337570188,Irek,Bohosiewicz,Rzepin,Królowej Bony,481,42-940
802790,Dagmar,Halicki,Wodzisław Śląski,Malczewskiego Jacka,592,36-507
14335226,Oliwier,Karaś,Biały Bór,Kosmowskiej Ireny,745,10-688
39015965,Gerard,Maćkowiak,Kłodawa,Olsztyńska,438,61-762
64557949,Mirosław,Gołębiewski,Okonek,Krzesiny,262,75-101
21072918,Gabriel,Zieliński,Ostrowiec Świętokrzyski,Roślinna,408,97-371
293899453,Bogusława,Pospieszalska,Sandomierz,Łosiowa,22,84-347
141811684,Dagmar,Malczewski,Opole,Juraszów,262,16-858
89592793,Angelika,Ochab,Gościno,Kluka Jana,82,18-411
19232921,Paula,Janowska,Jeziorany,Nad Sudołem,607,41-692
264541213,Dionizy,Rączkowski,Ustroń,Pierackiego Bronisława,77,73-178
